#tax_id,GeneID,Symbol
9606,29994,BAZ2B
9606,27113,BBC3
9606,92482,BBIP1
9606,80127,BBOF1
9606,582,BBS1
9606,79738,BBS10
9606,166379,BBS12
9606,583,BBS2
9606,585,BBS4
9606,129880,BBS5
9606,55212,BBS7
9606,27241,BBS9
9606,4059,BCAM
9606,63827,BCAN
9606,10134,BCAP31
9606,586,BCAT1
9606,587,BCAT2
9606,56647,BCCIP
9606,144233,BCDIN3D
9606,590,BCHE
9606,593,BCKDHA
9606,594,BCKDHB
9606,10295,BCKDK
9606,8915,BCL10
9606,53335,BCL11A
9606,64919,BCL11B
9606,596,BCL2
9606,597,BCL2A1
9606,598,BCL2L1
9606,10018,BCL2L11
9606,79370,BCL2L14
9606,602,BCL3
9606,604,BCL6
9606,9275,BCL7B
9606,256643,BCLAF3
9606,53630,BCO1
9606,54880,BCOR
9606,63035,BCORL1
9606,613,BCR
9606,617,BCS1L
9606,627,BDNF
9606,55814,BDP1
9606,146227,BEAN1
9606,139105,BEND2
9606,79656,BEND5
9606,7439,BEST1
9606,84707,BEX2
9606,56271,BEX4
9606,631,BFSP1
9606,8419,BFSP2
9606,632,BGLAP
9606,103344929,BGLT3
9606,633,BGN
9606,727857,BHLHA9
9606,80823,BHLHB9
9606,27319,BHLHE22
9606,79365,BHLHE41
9606,635,BHMT
9606,23743,BHMT2
9606,80114,BICC1
9606,23299,BICD2
9606,23506,BICRAL
9606,274,BIN1
9606,332,BIRC5
9606,79444,BIRC7
9606,640,BLK
9606,641,BLM
9606,642,BLMH
9606,29760,BLNK
9606,388552,BLOC1S3
9606,26258,BLOC1S6
9606,644,BLVRA
9606,649,BMP1
9606,27302,BMP10
9606,9210,BMP15
9606,650,BMP2
9606,55589,BMP2K
9606,652,BMP4
9606,655,BMP7
9606,168667,BMPER
9606,657,BMPR1A
9606,658,BMPR1B
9606,659,BMPR2
9606,9790,BMS1
9606,660,BMX
9606,54796,BNC2
9606,663,BNIP2
9606,149428,BNIPL
9606,666,BOK
9606,388962,BOLA3
9606,669,BPGM
9606,671,BPI
9606,80341,BPIFB2
9606,2186,BPTF
9606,9083,BPY2
9606,673,BRAF
9606,221927,BRAT1
9606,672,BRCA1
9606,675,BRCA2
9606,79184,BRCC3
9606,6046,BRD2
9606,29117,BRD7
9606,2972,BRF1
9606,55290,BRF2
9606,83990,BRIP1
9606,7862,BRPF1
9606,54014,BRWD1
9606,254065,BRWD3
9606,26580,BSCL2
9606,682,BSG
9606,8927,BSN
9606,7809,BSND
9606,121551,BTBD11
9606,118663,BTBD16
9606,114781,BTBD9
9606,686,BTD
9606,7832,BTG2
9606,695,BTK
9606,56244,BTNL2
9606,8945,BTRC
9606,699,BUB1
9606,701,BUB1B
9606,9184,BUB3
9606,11149,BVES
9606,160140,C11orf65
9606,119710,C11orf74
9606,57102,C12orf4
9606,113246,C12orf57
9606,91574,C12orf65
9606,84529,C15orf41
9606,64755,C16orf58
9606,146556,C16orf89
9606,339210,C17orf67
9606,55028,C17orf80
9606,83636,C19orf12
9606,56913,C1GALT1
9606,29071,C1GALT1C1
9606,712,C1QA
9606,713,C1QB
9606,714,C1QC
9606,114902,C1QTNF5
9606,715,C1R
9606,716,C1S
9606,717,C2
9606,128653,C20orf141
9606,25943,C20orf194
9606,26005,C2CD3
9606,151254,C2CD6
9606,718,C3
9606,719,C3AR1
9606,720,C4A
9606,721,C4B
9606,722,C4BPA
9606,725,C4BPB
9606,201725,C4orf46
9606,727,C5
9606,729,C6
9606,389384,C6orf222
9606,730,C7
9606,731,C8A
9606,732,C8B
9606,733,C8G
9606,116328,C8orf34
9606,157657,C8orf37
9606,735,C9
9606,84909,C9orf3
9606,203228,C9orf72
9606,759,CA1
9606,771,CA12
9606,760,CA2
9606,762,CA4
9606,763,CA5A
9606,11238,CA5B
9606,765,CA6
9606,767,CA8
9606,23523,CABIN1
9606,9478,CABP1
9606,51475,CABP2
9606,57010,CABP4
9606,773,CACNA1A
9606,774,CACNA1B
9606,775,CACNA1C
9606,776,CACNA1D
9606,777,CACNA1E
9606,778,CACNA1F
9606,8913,CACNA1G
9606,8912,CACNA1H
9606,8911,CACNA1I
9606,779,CACNA1S
9606,781,CACNA2D1
9606,9254,CACNA2D2
9606,93589,CACNA2D4
9606,782,CACNB1
9606,783,CACNB2
9606,784,CACNB3
9606,785,CACNB4
9606,10369,CACNG2
9606,27101,CACYBP
9606,790,CAD
9606,57863,CADM3
9606,8618,CADPS
9606,93664,CADPS2
